Vial No,Date,Metal salt name,Metal salt mass,Metal salt mass unit,Linker name,Linker mass,Linker mass unit,Solvent,Temperature ,Temperature Unit,Time ,Time Unit,Place,phase purity
S-1,01.02.2024,FeCl3 ,16,mg,"Benzene-1,4-dicarboxylic acid",0.016,g,DMF,60,deg C,1,day,oven,yes
S-2,01.02.2024,FeCl3,16,mg,"Benzene-1,4-dicarboxylic acid",16,mg,DMF,80,deg C,1,day,oven,yes
S-3,01.02.2024,FeCl3,16,mg,"Benzene-1,4-dicarboxylic acid",16,mg,DMF,100,deg C,1,day,oven,yes
S-4,01.02.2024,FeCl3,16,mg,"Benzene-1,4-dicarboxylic acid",16,mg,Dry DMF,120,deg C,1,day,oven,yes
S-5,01.02.2024,FeCl3,16,mg,"Benzene-1,4-dicarboxylic acid",16,mg,DMF,120,deg C,1,day,oven,yes
S-6,01.02.2024,FeCl3,16,mg,"Benzene-1,4-dicarboxylic acid",16,mg,DMF,120,deg C,1,hours,microwave,yes
S-7,01.02.2024,FeCl3,16,mg,"Benzene-1,4-dicarboxylic acid",16,mg,DMF,140,deg C,2,hours,microwave,yes
S-8,01.02.2024,FeCl3,16,mg,"Benzene-1,4-dicarboxylic acid",16,mg,"DMF, NaOH",120,deg C,1,day,oven,no
S-9,01.02.2024,FeCl3,16,mg,"Benzene-1,4-dicarboxylic acid",16,mg,"DMF, HCI",120,deg C,1,day,oven,no
S-10,01.02.2024,FeCl3�6H2O,27,mg,"Benzene-1,4-dicarboxylic acid",16,mg,DMF,60,deg C,1,day,oven,no
S-11,01.02.2024,FeCl3�6H2O,27,mg,"Benzene-1,4-dicarboxylic acid",16,mg,DMF,80,deg C,1,day,oven,no
S-12,01.02.2024,FeCl3�6H2O,27,mg,"Benzene-1,4-dicarboxylic acid",16,mg,DMF,100,deg C,1,day,oven,no
S-13,01.02.2024,FeCl3�6H2O,27,mg,"Benzene-1,4-dicarboxylic acid",16,mg,DMF,120,deg C,1,day,oven,no
S-14,01.02.2024,FeCl3�6H2O,27,mg,"Benzene-1,4-dicarboxylic acid",16,mg,DMF,140,deg C,2,hours,microwave,no
S-15,01.02.2024,FeCl3�6H2O,27,mg,"Benzene-1,4-dicarboxylic acid",16,mg,"DMF, NaOH",120,deg C,1,day,oven,no
S-16,01.02.2024,FeCl3�6H2O,27,mg,"Benzene-1,4-dicarboxylic acid",16,mg,"DMF, HCI",90,deg C,1,day,oven,no
S-17,01.02.2024,FeCl3�6H2O,27,mg,"Benzene-1,4-dicarboxylic acid",16,mg,"DMF, HCI",120,deg C,1,day,oven,no
